ACTIVITESPRINCIPAL;DESCR;SECTEURACTIVITES
OEUVRES SOCIALES;OEUVRES SOCIALES;Activités professionnelles, scientifiques et techniques
ORGANISATION INTERNATIONALES;ORGANISATION INTERNATIONALES;Activités des organisations et organismes extraterritoriaux
PECHE;PECHE;Agriculture, sylviculture et pêche
PETROLE BRUT ET GAZ NATUREL;PETROLE BRUT ET GAZ NATUREL;Production et distribution d'électricité, de gaz, de vapeur et climatisation
PHARMACIE AVEC OFFICINE;PHARMACIE AVEC OFFICINE;Santé et activités d'action sociale
PHARMACIE SANS OFFICINE;PHARMACIE SANS OFFICINE;Santé et activités d'action sociale
PROFESSIONS LIBERALES CONSEIL;PROFESSIONS LIBERALES CONSEIL;Activités professionnelles, scientifiques et techniques
RAFFINERIE DE PETROLE;RAFFINERIE DE PETROLE;Activités extractives
REPRESENTATION DIPLOMATIQUE ET CONSULAIRE;REPRESENTATION DIPLOMATIQUE ET CONSULAIRE;Activités des organisations et organismes extraterritoriaux
RESTAURANTS -BARS-DEBITS;RESTAURANTS -BARS-DEBITS;Activités d'hébergement et de restauration
SERVICE DOMESTQUE;SERVICE DOMESTQUE;Activités des ménages privés employant du personnel domestique
SERVICE PUBLIC;SERVICE PUBLIC;Administration et activités d'appui administratif
SERVICES AUX DE TRANSPORT;SERVICES AUX DE TRANSPORT;Transport et entreposage
SERVICES ENTRETIEN NETTOYAGE GARDIENNAGE;SERVICES ENTRETIEN NETTOYAGE GARDIENNAGE;Administration et activités d'appui administratif
SERVICES INFORMATIQUE;SERVICES INFORMATIQUE;Information et communication
SERVICES MAL DESIGNES;SERVICES MAL DESIGNES;Activité mal désignée
SERVICES MEDICAUX;SERVICES MEDICAUX;Santé et activités d'action sociale
SERVICES PERSONNES;SERVICES PERSONNES;Activités des ménages privés employant du personnel domestique
SERVICES SANITAIRES;SERVICES SANITAIRES;Santé et activités d'action sociale
SIDERURGIE(ACIER FONTE FER);SIDERURGIE(ACIER FONTE FER);Activités de fabrication
SOCIETE DE SERVICE ARTISANS;SOCIETE DE SERVICE ARTISANS;Activités de fabrication
SOCIETES D'INTERIM;SOCIETES D'INTERIM;Autres activités de services
SYLVICUTURE;SYLVICUTURE;Agriculture, sylviculture et pêche
TELECOMMUNICATIONS ET ACTIVITE;TELECOMMUNICATIONS ET ACTIVITE;Information et communication
TRANSITAIRES;TRANSITAIRES;Transport et entreposage
TRANSPORT PAR EAU;TRANSPORT PAR EAU;Transport et entreposage
TRANSPORTS AERIENS;TRANSPORTS AERIENS;Transport et entreposage
TRANSPORTS TERRESTRE;TRANSPORTS TERRESTRE;Transport et entreposage
TRAVAUX PUBLICS;TRAVAUX PUBLICS;Construction
