code_pays;code_localite ;localite
221;83;GUIDEL BAMBADINCKA
221;84;BISSINE
221;85;LATTI
221;86;BOULOM
221;87;BOUROFAYE BAINOUNCK
221;88;KOLDA
221;89;DABO C P
221;90;BAGADADJI
221;91;COUMBACARA
221;92;MAMPATIM
221;93;SALIKEGNE
221;94;THIARRAPPE
221;95;DIANCANCOUNDA OGUEL
221;96;SARE DEMBAYEL
221;97;ILIYAO
221;98;AWATABA
221;99;DIOULOULOU C S
221;100;THIEWAL LAO
221;101;SARE LOUNTANG MAMBOUA
221;102;DIOULACOLON C P
221;103;MEDINA E L HADJI
221;104;SARE BIDJI
221;105;TANKANTO ESCALE
221;106;SARE YOBA DIEGA
221;107;SARE NDIAYE
221;108;THIETTI
221;109;MEDINA YERO FOULAH C P
221;110;FAFACOUROU
221;111;NDORNA
221;112;PATA
221;113;BADION
221;114;SARE YORO BOUKA
221;115;KOULINTO
221;116;OUSSOUYE
221;117;DJIRACK
221;118;DIEMBERING
221;119;SANTHIABA MANJAQUE
221;120;KAHEME
221;121;BOUCOTTE OUOLOFF
221;122;EFFOC BALANDIATE
221;123;CARABANE
221;124;YOUTOU BOUHAHENE
221;125;MLOMP
221;126;OUKOUT
221;127;DIAKENE DIOLA
221;128;DIAKENE OUOLOFF
221;129;ELINKINE
